GHCND:USC00045280,STATION,STATION_NAME,DATE,YEAR,MONTH,DAY,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT04,WT03
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940121,1994,1,21,-9999,-9999,-9999,-9999,0,0,0,133,-61,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940122,1994,1,22,-9999,-9999,-9999,-9999,0,0,0,61,-72,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940123,1994,1,23,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940124,1994,1,24,-9999,-9999,-9999,-9999,13,25,13,-9999,-72,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940125,1994,1,25,-9999,-9999,-9999,-9999,94,76,76,22,-83,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940126,1994,1,26,-9999,-9999,-9999,-9999,0,51,0,-33,-144,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940127,1994,1,27,-9999,-9999,-9999,-9999,10,51,13,22,-94,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940128,1994,1,28,-9999,-9999,-9999,-9999,5,76,25,-22,-144,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940129,1994,1,29,-9999,-9999,-9999,-9999,0,76,0,-11,-167,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940130,1994,1,30,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940131,1994,1,31,-9999,-9999,-9999,-9999,0,-9999,0,61,44,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940201,1994,2,1,-9999,-9999,-9999,-9999,0,0,0,28,-167,-150,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940202,1994,2,2,-9999,-9999,-9999,-9999,0,0,0,11,-150,-128,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940203,1994,2,3,-9999,-9999,-9999,-9999,0,0,0,50,-67,-56,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940204,1994,2,4,-9999,-9999,-9999,-9999,5,25,13,61,-67,-61,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940205,1994,2,5,-9999,-9999,-9999,-9999,0,-9999,0,61,-128,-117,1,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940206,1994,2,6,-9999,-9999,-9999,-9999,0,-9999,0,61,-72,-61,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940207,1994,2,7,-9999,-9999,-9999,-9999,152,152,152,6,-61,-33,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940208,1994,2,8,-9999,-9999,-9999,-9999,254,457,305,-17,-50,-39,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940209,1994,2,9,-9999,-9999,-9999,-9999,0,406,0,22,-150,-122,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940210,1994,2,10,-9999,-9999,-9999,-9999,0,330,0,83,-17,-17,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940211,1994,2,11,-9999,-9999,-9999,-9999,46,356,76,83,-139,-100,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940212,1994,2,12,-9999,-9999,-9999,-9999,0,305,0,83,-211,-178,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940213,1994,2,13,-9999,-9999,-9999,-9999,0,-9999,0,22,-161,-156,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940214,1994,2,14,-9999,-9999,-9999,-9999,0,305,0,72,-161,-67,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940215,1994,2,15,-9999,-9999,-9999,-9999,0,203,0,94,-111,-67,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940216,1994,2,16,-9999,-9999,-9999,-9999,0,152,0,56,-78,-17,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940217,1994,2,17,-9999,-9999,-9999,-9999,208,356,178,67,-28,-11,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940218,1994,2,18,-9999,-9999,-9999,-9999,305,660,356,-67,-94,-89,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940219,1994,2,19,-9999,-9999,-9999,-9999,38,610,51,-67,-133,-100,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940220,1994,2,20,-9999,-9999,-9999,-9999,305,991,356,-44,-89,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940221,1994,2,21,-9999,-9999,-9999,-9999,0,-9999,0,-39,-111,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940222,1994,2,22,-9999,-9999,-9999,-9999,0,762,0,-33,-100,-61,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940223,1994,2,23,-9999,-9999,-9999,-9999,0,660,0,28,-139,-100,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940224,1994,2,24,-9999,-9999,-9999,-9999,0,610,0,61,-89,-67,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940225,1994,2,25,-9999,-9999,-9999,-9999,0,508,0,106,-72,-56,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940226,1994,2,26,-9999,-9999,-9999,-9999,0,432,0,106,6,11,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940227,1994,2,27,-9999,-9999,-9999,-9999,0,-9999,0,39,-6,11,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940228,1994,2,28,-9999,-9999,-9999,-9999,0,356,0,67,-44,0,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940301,1994,3,1,-9999,-9999,-9999,-9999,0,356,0,106,-78,-50,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940302,1994,3,2,-9999,-9999,-9999,-9999,0,305,0,128,-61,-44,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940303,1994,3,3,-9999,-9999,-9999,-9999,0,254,0,128,-39,39,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940304,1994,3,4,-9999,-9999,-9999,-9999,0,203,0,128,-39,0,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940305,1994,3,5,-9999,-9999,-9999,-9999,0,203,0,61,0,44,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940306,1994,3,6,-9999,-9999,-9999,-9999,84,305,76,22,-17,61,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940307,1994,3,7,-9999,-9999,-9999,-9999,0,-9999,0,78,-22,-17,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940308,1994,3,8,-9999,-9999,-9999,-9999,0,203,0,117,-72,-22,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940309,1994,3,9,-9999,-9999,-9999,-9999,0,152,0,122,-72,-22,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940310,1994,3,10,-9999,-9999,-9999,-9999,0,152,0,83,11,33,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940311,1994,3,11,-9999,-9999,-9999,-9999,18,102,25,50,-67,-28,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940312,1994,3,12,-9999,-9999,-9999,-9999,0,-9999,0,89,-44,-22,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940313,1994,3,13,-9999,-9999,-9999,-9999,0,-9999,0,167,-72,-39,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940314,1994,3,14,-9999,-9999,-9999,-9999,0,-9999,0,183,-78,-6,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940315,1994,3,15,-9999,-9999,-9999,-9999,0,-9999,0,156,0,22,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940316,1994,3,16,-9999,-9999,-9999,-9999,0,-9999,0,89,28,44,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940317,1994,3,17,-9999,-9999,-9999,-9999,0,-9999,0,133,-17,28,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940318,1994,3,18,-9999,-9999,-9999,-9999,0,-9999,0,83,28,39,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940319,1994,3,19,-9999,-9999,-9999,-9999,5,-9999,8,56,-11,11,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940320,1994,3,20,-9999,-9999,-9999,-9999,0,-9999,0,111,-83,-11,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940321,1994,3,21,-9999,-9999,-9999,-9999,0,-9999,0,106,-33,44,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940322,1994,3,22,-9999,-9999,-9999,-9999,46,51,51,-39,-50,-44,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940323,1994,3,23,-9999,-9999,-9999,-9999,0,51,0,39,-111,-50,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940324,1994,3,24,-9999,-9999,-9999,-9999,0,0,0,22,-61,-33,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940325,1994,3,25,-9999,-9999,-9999,-9999,48,76,76,6,-61,-50,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940326,1994,3,26,-9999,-9999,-9999,-9999,61,152,76,72,-78,-33,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940327,1994,3,27,-9999,-9999,-9999,-9999,0,-9999,0,133,-89,-6,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940328,1994,3,28,-9999,-9999,-9999,-9999,0,-9999,0,133,-50,56,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940329,1994,3,29,-9999,-9999,-9999,-9999,0,-9999,0,144,-33,44,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940330,1994,3,30,-9999,-9999,-9999,-9999,0,-9999,0,128,-11,61,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940331,1994,3,31,-9999,-9999,-9999,-9999,0,-9999,0,139,-28,50,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940401,1994,4,1,-9999,-9999,-9999,-9999,0,-9999,0,139,6,56,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940402,1994,4,2,-9999,-9999,-9999,-9999,0,0,0,156,-33,78,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940403,1994,4,3,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940404,1994,4,4,-9999,-9999,-9999,-9999,20,25,25,100,-78,-61,-9999,-9999,-9999,-9999
